site_id,local_site_name,address,latitude,longitude,date,parameter,units,sample_measurement,aqi
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-04-24,Ozone,Parts per million,0.031294,38.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-04-25,Ozone,Parts per million,0.041647,44.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-04-26,Ozone,Parts per million,0.036647,38.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-04-27,Ozone,Parts per million,0.038941,37.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-04-28,Ozone,Parts per million,0.039647,42.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-04-29,Ozone,Parts per million,0.048824,46.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-04-30,Ozone,Parts per million,0.026529,32.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-05-01,Ozone,Parts per million,0.029294,39.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-05-02,Ozone,Parts per million,0.048059,45.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-05-03,Ozone,Parts per million,0.044941,50.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-05-04,Ozone,Parts per million,0.032118,33.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-05-05,Ozone,Parts per million,0.038176,38.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-05-06,Ozone,Parts per million,0.031118,39.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-05-07,Ozone,Parts per million,0.036941,44.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-05-08,Ozone,Parts per million,0.026647,29.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-05-09,Ozone,Parts per million,0.034118,36.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-05-10,Ozone,Parts per million,0.034941,40.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-05-11,Ozone,Parts per million,0.027706,28.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-05-12,Ozone,Parts per million,0.035882,41.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-05-13,Ozone,Parts per million,0.039882,41.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-05-14,Ozone,Parts per million,0.036294,35.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-05-15,Ozone,Parts per million,0.031176,34.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-05-16,Ozone,Parts per million,0.034235,37.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-05-17,Ozone,Parts per million,0.025118,31.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-05-18,Ozone,Parts per million,0.015647,19.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-05-19,Ozone,Parts per million,0.046176,45.0
0034,District 6,881 E. 152nd ST.,41.55523,-81.575256,2020-05-20,Ozone,Parts per million,0.045,44.0
