geoid,tract_name,total_pop,median_hh_income,poverty_count,bachelors_up_count,owner_occupied,nonwhite_count,median_gross_rent
39035152302,Census Tract 1523.02; Cuyahoga County; Ohio,3945,68085,543,648,1074,2503,1345
39035152303,Census Tract 1523.03; Cuyahoga County; Ohio,4622,60915,288,539,1303,3281,1271
39035152400,Census Tract 1524; Cuyahoga County; Ohio,1849,60167,578,121,405,1392,1364
39035152501,Census Tract 1525.01; Cuyahoga County; Ohio,3632,58162,471,291,922,2678,1384
39035152502,Census Tract 1525.02; Cuyahoga County; Ohio,2590,60518,517,445,514,1994,1201
39035152605,Census Tract 1526.05; Cuyahoga County; Ohio,4605,47384,742,783,1163,3434,850
39035152701,Census Tract 1527.01; Cuyahoga County; Ohio,1848,18340,711,63,91,1631,809
39035152702,Census Tract 1527.02; Cuyahoga County; Ohio,2376,48194,355,583,684,1822,1002
39035152703,Census Tract 1527.03; Cuyahoga County; Ohio,1846,68304,26,357,502,1219,1188
39035153103,Census Tract 1531.03; Cuyahoga County; Ohio,2420,71354,330,804,945,377,1442
39035153104,Census Tract 1531.04; Cuyahoga County; Ohio,3002,96625,56,1116,1036,285,1590
39035153105,Census Tract 1531.05; Cuyahoga County; Ohio,3618,60670,289,1285,918,522,1030
39035153106,Census Tract 1531.06; Cuyahoga County; Ohio,3815,109891,128,1474,1386,397,980
39035153107,Census Tract 1531.07; Cuyahoga County; Ohio,4163,66667,794,1417,1141,450,943
39035154100,Census Tract 1541; Cuyahoga County; Ohio,2037,48714,520,209,459,1131,1137
39035154200,Census Tract 1542; Cuyahoga County; Ohio,1367,38234,365,140,372,804,791
39035154400,Census Tract 1544; Cuyahoga County; Ohio,2446,50941,397,300,680,1621,1356
39035154501,Census Tract 1545.01; Cuyahoga County; Ohio,3871,54294,350,285,881,2418,885
39035154502,Census Tract 1545.02; Cuyahoga County; Ohio,3327,74021,795,376,1076,2303,1046
39035154601,Census Tract 1546.01; Cuyahoga County; Ohio,5461,64859,893,511,896,3850,1151
39035154603,Census Tract 1546.03; Cuyahoga County; Ohio,3194,55760,964,272,922,2292,1100
39035154604,Census Tract 1546.04; Cuyahoga County; Ohio,3993,78920,854,536,1010,2651,1395
39035155101,Census Tract 1551.01; Cuyahoga County; Ohio,5456,134091,161,2522,2203,806,NA
39035155102,Census Tract 1551.02; Cuyahoga County; Ohio,3167,101714,133,1254,1215,630,1789
39035156101,Census Tract 1561.01; Cuyahoga County; Ohio,1520,120795,58,516,471,23,1456
39035156102,Census Tract 1561.02; Cuyahoga County; Ohio,6014,115211,126,2129,2351,508,1345
39035160100,Census Tract 1601; Cuyahoga County; Ohio,1742,132115,73,1004,560,184,1206
39035160200,Census Tract 1602; Cuyahoga County; Ohio,2294,66579,263,1087,474,398,1087
39035160300,Census Tract 1603; Cuyahoga County; Ohio,1778,96250,91,934,698,175,1315
39035160400,Census Tract 1604; Cuyahoga County; Ohio,3141,81944,245,1404,888,410,1171
39035160500,Census Tract 1605; Cuyahoga County; Ohio,3899,45809,389,1400,699,376,844
39035160602,Census Tract 1606.02; Cuyahoga County; Ohio,2845,49405,582,954,423,800,979
39035160603,Census Tract 1606.03; Cuyahoga County; Ohio,1409,47556,142,775,141,241,986
39035160604,Census Tract 1606.04; Cuyahoga County; Ohio,3565,54274,497,2063,1291,826,1193
39035160900,Census Tract 1609; Cuyahoga County; Ohio,3349,74156,172,1834,1118,334,1102
39035161000,Census Tract 1610; Cuyahoga County; Ohio,1828,111071,81,761,409,182,1334
39035161100,Census Tract 1611; Cuyahoga County; Ohio,3567,91429,98,1706,984,136,1316
39035161200,Census Tract 1612; Cuyahoga County; Ohio,2974,83266,214,1240,851,389,1298
39035161300,Census Tract 1613; Cuyahoga County; Ohio,2817,67125,438,1099,717,349,1009
39035161400,Census Tract 1614; Cuyahoga County; Ohio,3142,89931,159,1233,768,379,1175
39035161500,Census Tract 1615; Cuyahoga County; Ohio,3924,80539,608,1332,873,501,1142
39035161600,Census Tract 1616; Cuyahoga County; Ohio,2104,77115,234,582,355,525,931
39035161900,Census Tract 1619; Cuyahoga County; Ohio,2485,65708,323,1122,409,227,988
39035170101,Census Tract 1701.01; Cuyahoga County; Ohio,3210,55474,351,1381,1047,953,1182
39035170102,Census Tract 1701.02; Cuyahoga County; Ohio,4523,101349,109,2051,1666,960,1211
39035170201,Census Tract 1702.01; Cuyahoga County; Ohio,2160,116563,83,1216,1044,296,1341
39035170202,Census Tract 1702.02; Cuyahoga County; Ohio,3908,91225,92,1904,1454,571,1529
39035171102,Census Tract 1711.02; Cuyahoga County; Ohio,5014,69286,810,308,1289,4640,1397
39035171103,Census Tract 1711.03; Cuyahoga County; Ohio,3102,48125,986,471,770,2681,946
39035171104,Census Tract 1711.04; Cuyahoga County; Ohio,4777,47603,1737,433,916,4258,1384
39035171203,Census Tract 1712.03; Cuyahoga County; Ohio,3550,44403,1228,360,826,2314,1630
39035171204,Census Tract 1712.04; Cuyahoga County; Ohio,2061,48994,390,203,536,1676,1010
39035171205,Census Tract 1712.05; Cuyahoga County; Ohio,2535,50246,582,288,681,1913,840
39035171206,Census Tract 1712.06; Cuyahoga County; Ohio,2219,71146,119,376,814,870,1424
39035172101,Census Tract 1721.01; Cuyahoga County; Ohio,2338,82700,91,784,897,514,1449
39035172102,Census Tract 1721.02; Cuyahoga County; Ohio,3906,88077,319,1251,1184,1074,1558
39035172104,Census Tract 1721.04; Cuyahoga County; Ohio,1678,72866,95,749,356,1115,1185
39035172105,Census Tract 1721.05; Cuyahoga County; Ohio,3852,50976,395,1084,235,2000,1128
39035172201,Census Tract 1722.01; Cuyahoga County; Ohio,3772,79987,159,953,1276,1063,1163
39035172202,Census Tract 1722.02; Cuyahoga County; Ohio,4476,48986,634,1617,1114,2343,999
39035173103,Census Tract 1731.03; Cuyahoga County; Ohio,2980,80875,107,723,946,328,889
39035173104,Census Tract 1731.04; Cuyahoga County; Ohio,4027,74092,289,980,1894,679,1559
39035173105,Census Tract 1731.05; Cuyahoga County; Ohio,2184,83958,53,594,883,173,NA
39035173106,Census Tract 1731.06; Cuyahoga County; Ohio,3851,77234,216,1354,683,1442,1147
39035173107,Census Tract 1731.07; Cuyahoga County; Ohio,2744,83839,53,651,868,367,924
39035174103,Census Tract 1741.03; Cuyahoga County; Ohio,2798,94786,347,780,1108,343,NA
39035174104,Census Tract 1741.04; Cuyahoga County; Ohio,2466,97356,169,654,803,185,1150
39035174105,Census Tract 1741.05; Cuyahoga County; Ohio,2757,102000,117,900,1034,248,1597
39035174106,Census Tract 1741.06; Cuyahoga County; Ohio,3062,72701,502,609,882,557,1311
39035174107,Census Tract 1741.07; Cuyahoga County; Ohio,4523,100411,145,993,1669,543,1215
39035174203,Census Tract 1742.03; Cuyahoga County; Ohio,2624,94653,130,769,1121,103,1157
39035174204,Census Tract 1742.04; Cuyahoga County; Ohio,3790,114773,204,649,1346,575,NA
39035174205,Census Tract 1742.05; Cuyahoga County; Ohio,3997,58590,391,1174,1080,538,1159
39035174206,Census Tract 1742.06; Cuyahoga County; Ohio,2865,64388,363,379,658,1056,1089
39035174207,Census Tract 1742.07; Cuyahoga County; Ohio,3042,70985,247,596,995,412,856
39035175105,Census Tract 1751.05; Cuyahoga County; Ohio,4725,105662,124,1570,1689,457,895
39035175106,Census Tract 1751.06; Cuyahoga County; Ohio,2653,115625,200,933,971,275,NA
39035175107,Census Tract 1751.07; Cuyahoga County; Ohio,3531,91615,135,1117,1258,296,1676
39035175108,Census Tract 1751.08; Cuyahoga County; Ohio,2972,48098,298,640,385,732,1201
39035175109,Census Tract 1751.09; Cuyahoga County; Ohio,2403,113977,162,800,861,111,1563
39035175110,Census Tract 1751.10; Cuyahoga County; Ohio,5393,65448,424,1214,1486,973,1344
39035175201,Census Tract 1752.01; Cuyahoga County; Ohio,5987,91756,273,1698,2081,760,922
39035175202,Census Tract 1752.02; Cuyahoga County; Ohio,3308,62500,158,812,892,201,956
39035176100,Census Tract 1761; Cuyahoga County; Ohio,2211,99722,121,566,817,224,1621
39035176200,Census Tract 1762; Cuyahoga County; Ohio,5287,89889,386,1494,1900,680,1218
39035177101,Census Tract 1771.01; Cuyahoga County; Ohio,4152,41786,953,477,792,1468,1078
39035177103,Census Tract 1771.03; Cuyahoga County; Ohio,4474,66429,506,794,1162,1055,953
39035177104,Census Tract 1771.04; Cuyahoga County; Ohio,3060,74722,295,378,1147,514,1194
39035177201,Census Tract 1772.01; Cuyahoga County; Ohio,3862,73892,249,641,1373,1000,1170
39035177202,Census Tract 1772.02; Cuyahoga County; Ohio,3306,74063,324,530,1124,561,1135
39035177302,Census Tract 1773.02; Cuyahoga County; Ohio,2399,61627,122,455,766,275,1120
39035177303,Census Tract 1773.03; Cuyahoga County; Ohio,4920,61689,688,905,1829,445,1213
39035177304,Census Tract 1773.04; Cuyahoga County; Ohio,3542,51320,749,733,720,1243,1089
39035177403,Census Tract 1774.03; Cuyahoga County; Ohio,2971,71597,212,596,1030,373,1416
39035177404,Census Tract 1774.04; Cuyahoga County; Ohio,3040,78462,260,616,886,652,1706
39035177405,Census Tract 1774.05; Cuyahoga County; Ohio,4674,77969,433,897,1525,908,877
39035177406,Census Tract 1774.06; Cuyahoga County; Ohio,3540,74817,196,699,1184,480,1313
39035177501,Census Tract 1775.01; Cuyahoga County; Ohio,4567,70156,496,703,1398,506,1054
39035177503,Census Tract 1775.03; Cuyahoga County; Ohio,3418,80288,356,710,1201,509,742
39035177504,Census Tract 1775.04; Cuyahoga County; Ohio,3707,77163,354,712,1439,395,882
39035177505,Census Tract 1775.05; Cuyahoga County; Ohio,4290,80167,186,1009,1500,450,1067
